customer_id,customer_name,email,phone,signup_date,billing_address,shipping_address,customer_type
CUST00021,William Daniels,evanscarrie@example.com,728.674.3152x7420,2024-01-15,"96685 Richard Court, East Thomas, IA 01396","4549 Jose Lake, North Elizabeth, NH 40714",returning
CUST00022,Margaret Shepard,tparks@example.com,(993)532-7279x568,2024-03-03,"785 Samantha Creek, Port Amyhaven, ID 75566","8713 Davis Pass, Stokesmouth, DC 67773",returning
CUST00023,Elizabeth Johnson,jelliott@example.com,903-291-0651x801,2024-06-10,"65676 Miller Shore, Lake Michelle, DE 23893","Unit 6823 Box 0047, DPO AP 94754",returning
CUST00024,Christopher Lopez,opatel@example.org,001-210-569-0331x1907,2024-07-30,"3830 William Highway Apt. 959, Joelberg, TN 68822","0892 Peters Causeway Suite 685, Russellport, MS 24602",returning
CUST00025,Brianna Ford,oallen@example.com,6865688263,2024-07-27,"5183 Joseph Spring, Port Charlesshire, VA 88509","54033 Julie Throughway Suite 393, Hermanside, MD 37602",returning
CUST00026,Jose Crawford,wferguson@example.com,575-435-5609,2024-05-27,"2353 Hudson Gardens Suite 854, Levyfort, NH 22551","28728 Alexandria Villages Apt. 006, Port Crystal, CA 93191",returning
CUST00027,Jonathan Brooks,wferguson@example.com,+1-697-670-0886x008,2024-02-28,"11823 Christine Glen Suite 461, Susanmouth, OK 32378","Unit 3410 Box 1666, DPO AP 62891",returning
CUST00028,Erin Madden,warnerchristopher@example.com,380-633-9740,2024-01-22,"PSC 9025, Box 0392, APO AP 52706","USNV Martin, FPO AE 74778",returning
CUST00029,Haley Davis,patrick21@example.net,615.999.9650,2024-05-31,"662 Miller River Suite 311, Ericberg, WA 51569","04754 David Ferry, Coleside, NY 53984",returning
CUST00030,Erika Cruz,davisangela@example.net,666-618-3982x6224,2024-02-10,"64647 Michael Gateway, Wheelerborough, NH 14522","5965 Cook Via, West Malik, UT 26827",returning
CUST00031,Mackenzie Faulkner,gregory65@example.com,456.246.5193,2024-07-05,"USCGC Hahn, FPO AE 57970","7243 Hopkins Stravenue, Mccormickland, NV 78873",returning
CUST00032,Rachel Ward,sferguson@example.com,+1-891-713-5290,2024-07-05,"Unit 6101 Box 4388, DPO AP 76590","5679 Michael Burg, Garciachester, PW 11754",returning
CUST00033,Hannah Davis,michaelcooper@example.org,001-475-414-0105x1238,2024-02-15,"3622 Foster Street Apt. 796, Smithborough, IL 36984","182 Nguyen Mount, West Emilyfort, NC 84270",returning
CUST00034,Ryan Williamson,lcarr@example.org,+1-849-891-2513x41252,2024-05-01,"2782 Tracy Dam Apt. 579, Port Michaeltown, NM 18396","876 Perry Ville Suite 721, Port Kathleenport, AZ 36526",returning
CUST00035,Kathleen Dixon,gary79@example.net,001-514-885-8078,2024-03-28,"0745 Scott Crest, East Lisa, OR 90827","92330 Patel Ranch Apt. 544, Stephaniehaven, MH 89538",returning
CUST00036,Sharon Martinez DVM,sydneyfloyd@example.org,825.836.7294,2024-02-06,"8457 Murphy Alley, Lake Teresastad, PR 08801","63745 Morgan Ports Apt. 975, North Corymouth, AK 16785",returning
CUST00037,Susan Khan MD,bbryant@example.org,315-341-5206x436,2024-03-02,"29387 Alan Junctions Apt. 627, East Patrickville, CT 41572","62218 Chelsey Expressway Suite 532, Jensenmouth, VI 28975",returning
CUST00038,Victor Edwards,taylordavid@example.net,(634)213-8999,2024-02-03,"89836 Lucas Tunnel Apt. 761, South Danielle, CA 69744","5269 Diaz Springs, Port Thomas, WI 10068",returning
CUST00039,Jennifer Mitchell,smithjason@example.org,001-686-366-1889x241,2024-01-07,"85691 Hale Stream, North John, NE 15703","2102 Frank Key, Garyberg, WA 35728",returning
CUST00040,Michael Ray,rogersruben@example.net,777-485-0792,2024-02-15,"138 Bradley Wall, East Brandonstad, MS 20172","635 Robert Stravenue, Josephland, OK 49365",returning
CUST00041,Andrea Marshall,whitelinda@example.org,545-918-7053x4949,2024-02-16,"83206 Jesse Key Apt. 506, Daltonhaven, IA 55527","41038 Haynes Landing, Villegasland, OR 13028",returning
CUST00042,Jessica Brandt,danafoster@example.net,544.356.5574,2024-07-15,"USNS Chan, FPO AP 14784","7561 Oconnell Fords, Parkerview, PR 16218",returning
CUST00043,Amanda Huff,lindseytorres@example.net,521-335-6804x42067,2024-02-05,"00323 Watson Roads, New Brendaland, AK 08951","15107 Gary Ports Suite 670, Vegaburgh, MI 28644",returning
CUST00044,Danielle Phillips,joshua20@example.net,(887)701-4626x38380,2024-03-13,"9856 White Island Apt. 040, Morenoshire, IN 21423","8039 Kelly Villages, East Joel, MD 97245",returning
CUST00045,Kristine Lopez,robin05@example.net,984.227.0103x9308,2024-09-27,"52500 Brenda Divide, Port Aliciastad, CA 49468","154 Taylor Estate Suite 752, Jeffreyshire, GU 23484",new
CUST00046,Tiffany Fry,jessica42@example.org,(390)529-5939x1725,2024-05-26,"15704 John Cliff Suite 410, South Samuelchester, GA 54767","8617 Francisco Cliffs Apt. 405, Stephanieland, MA 22797",returning
CUST00047,William Barry,jessicapayne@example.org,001-806-629-6201x533,2024-05-25,"10698 Hernandez Lake Apt. 614, Gonzaleztown, IL 22892","1467 Jacobson Greens, Lake Amyburgh, MN 50497",returning
CUST00048,Russell Elliott,seanbaker@example.com,(211)858-6938,2024-05-23,"793 Evans Locks Apt. 898, North Stacy, NV 23160","USNS Stanton, FPO AE 17040",returning
CUST00049,Rodney Hernandez,rmiller@example.com,+1-945-211-6868x548,2024-01-17,"62299 Sara Port Apt. 485, Bakerfort, OK 80318","6299 Williams Isle, North Julie, PW 35704",returning
CUST00050,John Horton,morganlaura@example.com,332-547-5469,2024-05-24,"785 Zachary Estate Apt. 486, Port Melissa, FM 75038","03070 Bush Harbor, Madisonhaven, MO 83785",returning
CUST00051,Seth Matthews,allentracy@example.com,(552)541-4060x293,2024-02-18,"680 Thomas Curve Apt. 903, Charleneport, VT 93479","5743 Turner Pike Suite 910, Annaport, ME 90208",returning
CUST00052,Donald Douglas,rbrown@example.net,+1-643-628-3096x5207,2024-02-11,"PSC 6609, Box 9353, APO AP 70576","584 Mary Wells Apt. 417, Lake Jonathan, AS 73774",returning
CUST00053,Elizabeth French,destiny35@example.org,554-394-7170x99917,2024-03-12,"460 Derrick Flats Suite 697, West Michelle, HI 11093","0074 Kathleen Extension, South Kristen, WI 12040",returning
CUST00054,Janet Johnson,zschultz@example.com,550.758.3003,2024-02-20,"8942 Madison Hills, Stephenhaven, PA 69198","7532 Smith Fork, East Jessica, OR 66644",returning
CUST00055,Martin Wise,richardsondebra@example.org,+1-609-901-0016x761,2024-03-06,"046 Elaine Groves, South Maria, CT 67555","1173 Kimberly Village, West Jade, LA 21521",returning
CUST00056,Aaron Powers,slozano@example.com,597-921-8114,2024-01-16,"Unit 4470 Box 1204, DPO AA 89206","00225 Kline Road, Natalieland, MN 45422",returning
CUST00057,Melissa Mendoza,moralessuzanne@example.com,(821)720-2169x79729,2024-03-12,"7167 Bryan Shoal, Alexanderhaven, WI 97969","588 Ryan Stream, South Michael, TX 84571",returning
CUST00058,Mason Moore,marygrant@example.net,872.817.5354x0838,2024-05-29,"7971 West Crest, Mcgeetown, CT 53380","99488 Diamond Motorway, Michaelton, GU 29719",returning
CUST00059,Heidi Chavez,ann99@example.com,330-255-4885,2024-06-25,"PSC 7261, Box 4933, APO AE 51998","516 Sara Villages, Port Patriciamouth, TN 77743",returning
CUST00060,Timothy Roberson,tamarasmith@example.net,882.592.2169x9586,2024-07-14,"7226 Cameron Plaza Suite 833, New Jennifer, TX 45759","PSC 2288, Box 5158, APO AA 76890",returning
CUST00061,Jenny Smith,icraig@example.com,606-620-0342,2024-08-09,"438 Michael Mission, New Mirandaside, VI 29901","84066 Frye Spur Suite 800, Jamesmouth, MP 30064",returning
CUST00062,Tracey Phillips,kari89@example.org,(612)628-1606,2024-09-03,"57202 Carlson Trail Suite 798, Charlesmouth, NC 29331","USS Hartman, FPO AE 55017",new
CUST00063,Erin Carter,odavis@example.org,001-798-878-0157x39930,2024-07-29,"PSC 1648, Box 4085, APO AP 67181","3581 Gary Trail, Lake Cameronborough, VI 90338",returning
CUST00064,Maria Case,harrismaria@example.net,001-520-675-0110x2481,2024-06-13,"665 Perry Crest Apt. 919, Lake Melaniestad, NY 14412","147 Foster Shore Apt. 728, East Julie, WY 72030",returning
CUST00065,Tina Smith,kennetheaton@example.net,+1-321-600-9968,2024-04-24,"68222 Christina Glen Apt. 129, Port Karenside, NH 84999","141 Jessica Oval Suite 523, West Christineborough, MD 64183",returning
CUST00066,Holly Stewart,christina49@example.org,(720)653-3645x25777,2024-06-24,"91428 Jose Road, Lake Charlestown, PR 66977","308 Stephens Plains Suite 256, Port Brittany, PR 38642",returning
CUST00067,Adam Allen,fmason@example.com,+1-228-527-2299x275,2024-02-21,"45303 Hughes Motorway, North Tinamouth, CT 92741","Unit 4498 Box 9266, DPO AA 77529",returning
CUST00068,Heather Parrish,blacknicholas@example.org,479.408.2723x1843,2024-09-10,"365 Timothy Neck, Clarkburgh, SD 54358","99228 Patricia Drive, East Jonathanburgh, NC 53644",new
CUST00069,Claire Obrien,johnsjessica@example.com,772.936.9292x9842,2024-08-20,"66210 Alexandra Parkways, Serranoville, HI 62874","PSC 9088, Box 1172, APO AP 71186",returning
CUST00070,Jessica Mays,xboyd@example.org,865.699.1624x7314,2024-01-01,"818 Nicholas Ford, Robertville, FL 56347","8695 Braun Locks Apt. 688, Whiteside, OH 63908",returning
CUST00071,David Logan,becky62@example.net,(413)886-5890,2024-04-08,"Unit 0127 Box 9611, DPO AA 29568","669 Dawson Ranch, Port Lorifort, NV 01904",returning
CUST00072,Lisa Craig,james98@example.net,(230)321-4656x693,2024-03-19,"PSC 8489, Box 5543, APO AP 25997","042 Hunter Points Apt. 845, Port Williamview, FM 71005",returning
CUST00073,Nina Ali,heather69@example.com,879.707.1416x335,2024-08-11,"434 Raymond Summit, Charlesburgh, NJ 41640","37333 Clark Flats Apt. 952, North Samanthafort, RI 01369",returning
CUST00074,William Prince PhD,charlesnathan@example.com,228.746.3920x8678,2024-07-29,"1875 Alexander Fords, Carpentermouth, MN 80819","434 Mullen Junctions, Ivanchester, IL 55432",returning
CUST00075,Carlos Johnston,michael64@example.com,414.938.6632,2024-09-29,"7288 Floyd Hills, Annashire, AR 52720","34717 Green Lake, Mauricechester, DE 46519",new
CUST00076,Richard Kelly,barbarasantos@example.net,+1-887-371-6947x22569,2024-09-20,"55449 Nelson Mills Suite 987, Jacksontown, DC 95891","132 Garcia Circles Suite 800, Warrenland, CT 34901",new
CUST00077,David Mitchell,christopherhuynh@example.com,+1-922-482-0055x7784,2024-08-28,"Unit 8299 Box 7968, DPO AP 84325","8317 Diaz Green Apt. 400, West Justin, ND 01591",returning
CUST00078,Jeffrey Carter,earroyo@example.com,508.453.6866,2024-09-24,"3416 Zachary Union Suite 484, Lopezland, HI 18408","749 Lopez Brook Apt. 080, North Julian, DC 94243",new
CUST00079,Jason Floyd,halledward@example.com,457.505.1204x6187,2024-06-19,"PSC 4601, Box 3673, APO AP 04893","376 Mayer Estate, Lake Sharonhaven, DE 33703",returning
CUST00080,Jeffrey Smith,james03@example.org,391-563-0097x925,2024-07-05,"950 Michael Drives, East Tonymouth, OH 84996","306 Ramsey Glen Apt. 778, Amyfort, ID 74779",returning
CUST00081,Kristen Jones,mario74@example.net,(874)448-5708,2024-03-13,"351 Lee Springs Suite 829, Marcusmouth, DE 13117","22031 Lee Bypass, Barretthaven, RI 92423",returning
CUST00082,Timothy Clark,brandon39@example.net,317.605.8650x9480,2024-08-17,"113 Lopez Pine, New Colleen, HI 73694","195 Park Meadow Apt. 228, Wagnerburgh, ND 79133",returning
CUST00083,Mark Mckenzie,rachel85@example.com,293-698-3684x57760,2024-06-21,"0433 Smith View, Samanthahaven, OH 75299","PSC 2107, Box 5224, APO AA 76805",returning
CUST00084,Thomas Navarro,jonathanevans@example.net,001-257-727-9194x0961,2024-04-07,"1390 Brown Pine Apt. 589, West Wayne, IN 20580","9981 Ryan Turnpike Suite 225, South Ashleyton, OH 52823",returning
CUST00085,Chad Hansen,rossryan@example.net,369.338.9833x1465,2024-04-11,"5355 Kayla Extension Suite 979, South Brady, GU 31104","11039 Misty Viaduct Suite 051, Shannontown, MA 27896",returning
CUST00086,Lisa Gay,jamesmills@example.com,001-606-298-0420x439,2024-07-27,"64510 Dillon Run, Hallfurt, NY 93521","9812 Vincent Mount Apt. 038, Matthewfurt, WA 21079",returning
CUST00087,Veronica Hill MD,gabrielle54@example.org,560-884-3256x216,2024-01-08,"4957 Jamie Dam, Port Devin, UT 92924","PSC 2629, Box 2518, APO AP 94799",returning
CUST00088,Fernando Dudley,lonniehobbs@example.net,(547)542-3122x09949,2024-02-15,"1728 Joseph Landing, Port Paul, NJ 18525","60463 Katherine Circles, South Michelle, NM 90660",returning
CUST00089,Lisa Holloway,bclay@example.com,001-256-599-9880x8177,2024-05-06,"086 James Mill Suite 447, South Kelly, PW 07650","7181 Kimberly Square, South Robert, NV 03766",returning
CUST00090,Ann Nguyen,tgarza@example.org,+1-821-811-7518x6892,2024-03-10,"9222 Kayla Center, Parkermouth, LA 82611","09407 Foley Plains, New Nicolebury, IL 77684",returning
CUST00091,Adriana Khan,cchavez@example.org,698-730-2205x020,2024-09-13,"PSC 0162, Box 2499, APO AP 74186","950 Kayla Islands Suite 616, West Thomasville, UT 36469",new
CUST00092,Ashley Blair,swarren@example.org,+1-781-479-4695x4899,2024-05-07,"772 Jeanette Fields Apt. 107, Lake Melaniechester, MT 06463","34414 Hunter Islands, North Ginamouth, MO 95449",returning
CUST00093,Karen Wells,collierjames@example.com,2276278576,2024-08-08,"803 Marsh Underpass Suite 124, West Tonyaside, MP 22254","91450 Gutierrez Parks Apt. 574, New Kevin, DE 49550",returning
CUST00094,Susan Moore,robinwallace@example.org,378-245-2182x30768,2024-01-15,"915 Small Cove, Andrewport, SC 28005","4857 Joseph Estate, Dannyside, NY 13919",returning
CUST00095,Laura Jackson,andrea42@example.net,395-887-0207x0160,2024-03-21,"545 Jennifer Skyway Apt. 792, Port Leahmouth, CT 60215","3329 Durham Lock Apt. 557, Johnsonfort, DE 46565",returning
CUST00096,Bethany Garcia,ssingleton@example.com,001-515-481-4876x963,2024-07-04,"Unit 6153 Box 9669, DPO AA 71873","197 Brittany Mountain, Angelamouth, HI 40875",returning
CUST00097,Jamie Snyder,georgegina@example.net,+1-901-532-9022x78469,2024-06-06,"9465 Brandi Ridge Suite 240, Rachelton, AL 92691","40369 Garrett Station Suite 666, Lake Glenn, DC 25172",returning
CUST00098,Zachary Santiago,xbridges@example.com,(401)802-7621,2024-08-03,"278 Arnold Mission Suite 532, Jacobsshire, NM 96303","8950 Ashley Squares Suite 197, East Jessicahaven, PR 98881",returning
CUST00099,John Harmon,hblack@example.net,+1-718-894-9058x07787,2024-04-18,"2094 Brown Mountains Apt. 904, West Toddberg, NY 10575","2944 Smith Creek Apt. 927, Lindseyview, WY 92352",returning
CUST00100,Bradley Thomas,hwhite@example.org,(776)263-7239,2024-04-01,"27674 Reese Terrace, South Frances, MS 62706","47658 Connor Place Suite 694, Josephville, KS 86267",returning
CUST00101,Michael Townsend,rmurray@example.net,752.558.0010x61817,2024-08-14,"00910 Stephanie Route Apt. 119, South Diana, MH 85423","24471 Livingston Harbor, Schwartzmouth, KS 21730",returning
CUST00102,Deanna Hess MD,kimberly66@example.com,873-596-2712,2024-01-29,"4101 Ashley Glen, Smithfort, FL 86073","642 Conway Ports, New Jasminefort, NJ 57655",returning
CUST00103,Karen Bradley,fernandezaaron@example.net,(554)460-1585x174,2024-06-05,"346 Crystal Knolls Suite 173, North James, VA 78219","84787 Benjamin Centers Suite 061, Port Desiree, NC 60580",returning
CUST00104,Charles Valdez,joycehall@example.org,390.332.0204x1792,2024-09-20,"36565 Theresa Ports, West Mary, WY 28449","1142 Jackson Land, South John, OR 05835",new
CUST00105,Alexis Tucker,moodycrystal@example.com,5024194672,2024-02-21,"3290 Jennifer Ridge Apt. 456, New Joeville, NC 13042","3403 Laura Spur, Jimenezburgh, TN 06152",returning
CUST00106,Stefanie Chavez,justin64@example.com,308-522-0781,2024-01-21,"3531 Perez Freeway Suite 363, South Brendaton, FM 57630","65273 Cantrell Flats Suite 209, West Derekmouth, NH 55318",returning
CUST00107,Margaret Carr,jeffrey49@example.org,(998)931-6873,2024-03-07,"335 Riley Ramp Apt. 906, North Vickiehaven, AZ 56298","177 Christopher Terrace Apt. 632, Kennethland, AK 63387",returning
CUST00108,Vanessa Ford,evan79@example.net,(262)657-0165,2024-09-16,"989 Kristin Common Suite 085, North Patrickmouth, RI 05858","818 Devon Isle, New Daniel, NJ 97150",new
CUST00109,Derek Frazier,karenhodges@example.com,601-955-7788x178,2024-08-13,"71162 Mullen Club, East Joshuaberg, NM 20227","6827 Fisher Street, West Jaimetown, VI 30952",returning
CUST00110,Melissa Wilkinson,robert55@example.com,274.492.4243x754,2024-07-20,"92842 Mary Square Apt. 231, West Autumnmouth, KS 48954","552 West Estates, Davidtown, MO 65960",returning
CUST00111,Kimberly Romero,jreilly@example.org,+1-347-649-2975x1702,2024-02-26,"5150 Brandy Forges, Jamesland, ND 58888","637 Morrison Pass, Lake Michaelberg, VT 56552",returning
CUST00112,William Sawyer,swatson@example.com,437-367-4266,2024-05-23,"8519 Davis Lodge Suite 628, Pageberg, ID 24881","704 Snyder Streets Suite 300, West Kevin, SC 83936",returning
CUST00113,Terry Newman,valdezpatricia@example.com,8146719597,2024-07-02,"158 Megan Estates Apt. 257, West Frank, KY 47839","44818 Katie Falls Apt. 928, Moniqueport, KY 90343",returning
CUST00114,Joseph Watson,cody95@example.org,365.821.3283x3898,2024-09-28,"20754 Taylor Mills, Geraldport, AK 98078","23423 Tina Manors, North Andrewfort, WV 57025",new
CUST00115,Julie Kerr,danielmcguire@example.net,5144011939,2024-01-17,"24955 Melissa Tunnel, New Ashley, CT 76278","342 Teresa Courts, New Melissa, NJ 48534",returning
CUST00116,Vicki Coleman,scottrosario@example.org,236.315.1718x27548,2024-09-28,"4794 Perez Lodge, Tracichester, ID 09624","PSC 7520, Box 7167, APO AP 86818",new
CUST00117,Ashley Schaefer,wilsonralph@example.net,(515)835-3961,2024-09-19,"994 Kelly Shores Suite 784, Port Shawn, DE 33359","201 Maria Parks, East Patrickmouth, FL 40183",new
CUST00118,Rebecca Harris,wolfdonna@example.net,+1-977-784-8588x00616,2024-08-29,"0028 Dyer Expressway Suite 624, Freemanville, OK 88977","8280 Baker Ramp Suite 954, Bryanshire, AZ 17304",returning
CUST00119,Brent Reed,lisa90@example.net,(365)703-3349x114,2024-05-22,"76986 Smith Mountains Apt. 569, Morrisville, AS 64511","7852 Cox Mews, South Cynthia, WY 10373",returning
CUST00120,Darrell Newton,karlwilliams@example.net,991-895-4198,2024-07-27,"484 Alvarado Island, South Richard, RI 68051","82973 Adams Route, Michaelton, NC 26800",returning
CUST00121,Elizabeth Graham,jhernandez@example.net,513-264-4249x36312,2024-05-21,"7866 James Groves Apt. 044, Lake Melissa, VA 64181","59416 Powers Course, Hahnberg, IA 15172",returning
CUST00122,Stephen Young,boydmaria@example.net,355-496-3632,2024-08-09,"6490 Ferguson Squares Apt. 586, Vegaview, FM 19494","0900 Johnny Lights Suite 518, Port Scott, AL 52009",returning
CUST00123,Caitlin Gonzales,christopher34@example.org,360-741-7765x61248,2024-04-09,"0027 Aaron Flats Suite 591, East Johnberg, PR 78359","7242 Marsh Flat Apt. 652, Waltershire, IN 03218",returning
CUST00124,Samuel Williams,rebeccamccann@example.org,+1-869-942-1529x108,2024-01-09,"33344 Reyes Meadows Apt. 934, South Henry, WY 19630","97359 Miller Mountains Apt. 563, Ericksonview, CA 12989",returning
CUST00125,Yesenia Crosby,williamssarah@example.com,+1-200-448-9646x528,2024-08-04,"7215 Thomas Crescent Suite 027, Juliechester, LA 35001","562 Doyle Overpass Apt. 870, East Brian, HI 05201",returning
CUST00126,Tammy Williams MD,frank76@example.org,001-487-477-1215x134,2024-07-01,"939 Alicia Ports Apt. 613, Rhodesmouth, AK 37762","5915 Anthony Mount, Gibsonview, PA 86747",returning
CUST00127,Zoe Meadows,tara97@example.com,001-823-304-5018,2024-01-03,"61032 Chan Haven, North Kenneth, AS 57171","925 Marilyn Passage Apt. 776, Adamschester, CO 99655",returning
CUST00128,Glenn Ford,christina66@example.org,327.988.1476,2024-06-13,"438 Phillips Causeway, North Williamhaven, NE 54636","4918 Daniel Shore Suite 226, North Robertport, MD 77467",returning
CUST00129,Shelby Lopez,qhanson@example.com,(819)341-6800,2024-06-25,"6974 Vazquez Spurs Suite 412, North James, GU 02583","37236 Christopher Trail, Hernandezchester, AK 15765",returning
CUST00130,Scott Richards,joannewallace@example.com,849.960.5016,2024-03-05,"76789 Hall Circle Apt. 695, West Patriciachester, FM 62542","6024 Taylor Mill Apt. 839, Sandramouth, DC 38956",returning
CUST00131,Rebecca Marsh,rwhitaker@example.net,(493)941-7223,2024-05-31,"4338 Yvette Knolls Suite 522, Port Brycechester, DE 81446","4550 Kemp Walk, Lake Brentmouth, AS 60418",returning
CUST00132,Amanda Garcia,harringtonchelsea@example.org,+1-413-352-4787x1255,2024-02-13,"0375 Wagner Corner Suite 565, East Karen, NC 55776","6678 Acevedo Mills, Port Alejandro, AS 68310",returning
CUST00133,James Johnson,morganrichard@example.org,+1-629-408-4668x4550,2024-01-28,"389 Terry Valleys Suite 341, New Matthewberg, NC 71383","848 Sherman Estate, North Pamelaside, OR 34408",returning
CUST00134,Jake Sims,jessica81@example.net,(510)717-4907x539,2024-04-03,"683 Mark Prairie, Port Kimberly, NH 13344","1106 Thomas Mission Apt. 586, Wigginsshire, NM 83923",returning
CUST00135,Samantha Thomas,fbarker@example.net,(977)228-8137,2024-06-13,"96115 Williams Drives Apt. 545, Kellytown, WY 19227","44327 David Keys Apt. 067, Arielmouth, WY 49955",returning
CUST00136,Mary Hernandez,kathleenwagner@example.com,001-651-399-6636x5807,2024-07-03,"481 James River, New Aimeefort, NY 02947","43397 Lindsay Rest, Richardton, NM 03550",returning
CUST00137,David Wilson,bwhite@example.net,682-842-2412,2024-05-12,"520 Kenneth Courts, Douglasmouth, KS 49720","USS Williams, FPO AE 99084",returning
CUST00138,Debra Flores,trevorgoodwin@example.com,+1-361-570-6304,2024-08-19,"9671 Krista Divide, Amberburgh, WY 32634","700 Woodward River Suite 200, Nelsonview, MP 89629",returning
CUST00139,Christopher Ferguson,megan39@example.net,541-761-2846,2024-05-27,"474 Eileen Islands Suite 379, Allenberg, SD 00769","26876 Kristin Run, New Anthonymouth, TX 16677",returning
CUST00140,Randy Terry,wcarey@example.com,6177537030,2024-05-17,"337 Johnson Park Apt. 036, Port Joshuahaven, NM 22845","92124 Nicole Stream, Jamestown, UT 89333",returning
CUST00141,Terri Williams,erin70@example.com,866-941-8775x80304,2024-07-25,"51903 Rosario Gateway Apt. 254, Lake Colleentown, NJ 57117","3173 Wall View Suite 831, Duranmouth, OR 16862",returning
CUST00142,Cameron Ellison,rangelnicholas@example.net,804.396.1108x046,2024-02-03,"99076 Pope River Apt. 507, Brianaville, CT 02111","392 Kelly Orchard, Lopezberg, AS 06277",returning
CUST00143,Emily Mcclure,larrygraham@example.net,001-522-274-9545x08920,2024-01-24,"31537 Greene Isle, Christinachester, MA 21771","3033 Hanson Garden, Navarromouth, AS 97504",returning
CUST00144,Benjamin Johnson,richardmckenzie@example.org,524-573-9500,2024-05-25,"2583 James Fall, Reneetown, MP 89296","3473 Pacheco Shore, New Tiffany, RI 57349",returning
CUST00145,James Brooks,thomassandra@example.org,+1-263-609-9384x253,2024-01-26,"17912 Potter Rue Suite 787, West Jennifer, NC 91531","4969 Jamie Flats Suite 363, Ronaldfurt, OK 21106",returning
