transaction_id,customer_id,product_id,order_date,order_time,amount,quantity,payment_method,shipping_address,billing_address,acquisition_channel,is_fraud,chargeback_date,device_type,ip_address,is_weekend,is_high_value,signup_date,days_since_signup,is_new_customer,shipping_billing_mismatch,fraud_prediction
TXN000027,CUST06706,PROD0209,2024-10-01,14:41:00,248.9,1,PayPal,"4909 Nichole Creek, Lanestad, GA 80193","0316 Stacy Dale Apt. 228, New Christinahaven, TN 30331",Email,False,,Mobile,160.155.252.51,0,0,2024-01-11,264,0,1,0
TXN000028,CUST07749,PROD0128,2024-10-01,09:09:00,733.98,2,Apple Pay,"08267 Williams Springs, Karenhaven, AL 32187","78082 Lisa Forks, Brownchester, MT 95906",Social,False,,Tablet,81.96.21.240,0,1,2024-04-26,158,0,1,0
TXN000029,CUST03831,PROD0498,2024-10-01,13:00:00,805.83,3,Apple Pay,"PSC 0619, Box 1105, APO AA 38862","0828 Freeman Expressway, Port Thomas, PW 20833",Paid Search,False,,Desktop,88.65.122.0,0,1,2024-08-26,36,0,1,0
TXN000030,CUST02540,PROD0429,2024-10-01,17:16:00,223.99,1,Apple Pay,"33985 Kevin Pike Suite 640, North Kellyville, ND 97411","303 Luis Estates, Calebport, MP 87247",Social,False,,Tablet,182.190.211.95,0,0,2024-04-02,182,0,1,0
TXN000031,CUST04242,PROD0268,2024-10-01,12:59:00,1301.43,3,Debit Card,"304 Ward Wall, Lake Aaron, VA 60136","USCGC Bailey, FPO AE 76617",Organic,False,,Desktop,135.231.209.21,0,1,2024-01-30,245,0,1,1
TXN000032,CUST00174,PROD0294,2024-10-01,14:34:00,252.71,1,PayPal,"11773 Michael Village, West Karihaven, NJ 97612","26557 Olson Loop Suite 236, Dunnside, ND 65067",Organic,False,,Desktop,138.60.70.103,0,0,2024-09-23,8,1,1,0
TXN000033,CUST00385,PROD0472,2024-10-01,18:42:00,57.0,2,PayPal,"49832 Lori Corner, Port Edwin, MP 23162","206 Jones Shore Suite 980, Coltonborough, VA 14521",Email,False,,Desktop,153.218.148.102,0,0,2024-05-23,131,0,1,0
TXN000034,CUST07206,PROD0092,2024-10-01,15:56:00,498.09,1,Credit Card,"84667 Emily Hollow, Cynthiatown, HI 60859","151 Smith Keys, Mooreshire, VA 52350",Email,False,,Mobile,133.157.96.1,0,0,2024-03-10,205,0,1,0
TXN000035,CUST03801,PROD0029,2024-10-01,13:03:00,1349.79,3,Apple Pay,"Unit 1197 Box 4198, DPO AA 59531","258 Harris Cliffs, South Dannyfurt, NJ 29593",Organic,False,,Tablet,116.0.255.51,0,1,2024-08-17,45,0,1,0
TXN000036,CUST06155,PROD0283,2024-10-01,13:58:00,145.36,1,Debit Card,"8324 Jeffrey Courts Suite 609, Nguyenfurt, WY 37961","19803 Judy Fords Apt. 025, Maryfort, PW 23200",Organic,False,,Desktop,19.197.246.56,0,0,2024-08-06,56,0,1,0
TXN000037,CUST00093,PROD0067,2024-10-01,19:20:00,157.38,2,PayPal,"91450 Gutierrez Parks Apt. 574, New Kevin, DE 49550","803 Marsh Underpass Suite 124, West Tonyaside, MP 22254",Paid Search,False,,Mobile,99.175.31.108,0,0,2024-08-08,54,0,1,0
TXN000038,CUST08079,PROD0334,2024-10-01,13:00:00,968.04,2,Credit Card,"3630 Stephanie Mews, Lake Samanthaland, FL 42381","38894 Mann Manor, New Todd, RI 28551",Email,False,,Mobile,170.70.207.216,0,1,2024-03-03,212,0,1,0
TXN000039,CUST04531,PROD0298,2024-10-01,10:27:00,421.78,2,Credit Card,"2211 Villegas Trafficway Apt. 324, Danielborough, RI 91698","2767 Robbins Overpass Suite 922, North Williamshire, MA 87808",Organic,False,,Tablet,47.69.41.138,0,0,2024-07-08,85,0,1,0
TXN000040,CUST09253,PROD0354,2024-10-01,13:01:00,176.04,3,Credit Card,"4032 Joseph Stravenue, North Ronnie, AR 21050","29104 Garcia Inlet Apt. 665, Hansentown, SC 37798",Social,False,,Desktop,219.54.254.238,0,0,2024-05-04,150,0,1,0
TXN000041,CUST05386,PROD0246,2024-10-01,15:33:00,462.72,1,Credit Card,"14637 Lauren Points, West Monica, MT 84499","PSC 3851, Box 4362, APO AP 06323",Paid Search,False,,Tablet,69.64.186.29,0,0,2024-07-15,78,0,1,0
TXN000042,CUST04707,PROD0095,2024-10-01,16:23:00,149.64,1,Debit Card,"PSC 8229, Box 1900, APO AP 79218","PSC 2229, Box 4419, APO AP 22973",Email,False,,Desktop,131.29.75.230,0,0,2024-07-03,90,0,1,0
TXN000043,CUST08779,PROD0104,2024-10-01,13:51:00,94.8,3,Debit Card,"793 Sheena Haven, Youngfort, ND 07407","Unit 3262 Box 8052, DPO AP 78041",Paid Search,False,,Desktop,144.107.127.196,0,0,2024-07-09,84,0,1,0
TXN000044,CUST08603,PROD0314,2024-10-01,12:23:00,470.38,2,Credit Card,"73478 Scott Square Apt. 157, Lake Nancy, OR 91535","2750 George Grove, East Cynthiastad, NV 07499",Social,False,,Desktop,109.52.16.194,0,0,2024-05-03,151,0,1,0
TXN000045,CUST02029,PROD0413,2024-10-01,19:47:00,759.84,2,Debit Card,"8531 Linda Knoll Suite 429, South Tara, PW 86702","351 Christine Stream Apt. 593, Owenstad, MO 31571",Paid Search,True,2024-11-24,Desktop,121.116.161.136,0,1,2024-03-03,212,0,1,0
TXN000046,CUST06513,PROD0020,2024-10-01,22:05:00,308.47,1,Apple Pay,"7937 Lee Park, Lake Joshua, VT 94207","85760 Wood Extensions, Wyattside, CA 39384",Email,True,2024-11-13,Desktop,103.155.160.216,0,0,2024-03-20,195,0,1,0
TXN000047,CUST06049,PROD0048,2024-10-01,13:30:00,1229.55,3,PayPal,"383 Harold Trail Apt. 305, South Judyhaven, PW 53716","Unit 0381 Box 4116, DPO AA 22902",Organic,False,,Tablet,1.70.250.214,0,1,2024-06-22,101,0,1,0
TXN000048,CUST06241,PROD0189,2024-10-01,10:45:00,1423.2,3,Debit Card,"33727 Brian Squares Suite 697, Rhondaview, WY 01393","9381 Elizabeth Skyway, Marshallstad, PA 87657",Organic,False,,Desktop,128.129.206.33,0,1,2024-07-10,83,0,1,0
TXN000049,CUST07695,PROD0491,2024-10-01,10:14:00,597.66,3,PayPal,"327 Wagner Flat, West Deborahshire, MO 85776","0233 Brittany Bypass Suite 187, Sheaport, VT 77155",Email,False,,Tablet,107.222.124.5,0,1,2024-05-07,147,0,1,0
TXN000050,CUST09703,PROD0081,2024-10-01,12:46:00,460.5,1,PayPal,"840 Rebekah Knoll, Lesliefurt, OH 49650","8699 Kyle Avenue, Alexisville, NY 70217",Email,False,,Desktop,190.247.196.87,0,0,2024-05-28,126,0,1,0
TXN000051,CUST01963,PROD0430,2024-10-01,20:37:00,597.1,2,Credit Card,"421 Moss Ports Suite 176, North Tammytown, SC 39698","7751 Long Vista Suite 303, South Donnaville, GU 13701",Email,False,,Desktop,93.88.111.229,0,1,2024-09-13,18,1,1,1
TXN000052,CUST04459,PROD0013,2024-10-01,16:53:00,48.61,1,Credit Card,"PSC 4450, Box 6295, APO AE 99532","5249 Charles Forest Suite 295, New Jennifer, NE 01651",Social,False,,Tablet,87.3.121.76,0,0,2024-04-25,159,0,1,0
TXN000053,CUST08795,PROD0485,2024-10-01,14:40:00,717.18,2,Apple Pay,"226 Mccann Lakes, Jimhaven, VA 65994","1619 Anthony Inlet Suite 335, East Victorport, TN 19620",Email,False,,Desktop,11.108.217.238,0,1,2024-06-21,102,0,1,0
TXN000054,CUST09208,PROD0312,2024-10-01,18:07:00,627.32,2,PayPal,"0058 Jones Ferry Apt. 174, Woodsville, IN 64272","490 Shawna Spurs Suite 794, Kelleychester, VA 53854",Social,False,,Desktop,94.155.157.60,0,1,2024-09-26,5,1,1,1
TXN000055,CUST06096,PROD0275,2024-10-01,21:49:00,715.58,2,PayPal,"PSC 9696, Box 7047, APO AE 65706","9629 Craig Manor Apt. 145, South Melvin, SC 10284",Social,False,,Desktop,162.15.95.73,0,1,2024-03-13,202,0,1,0
TXN000056,CUST06274,PROD0377,2024-10-01,23:34:00,92.02,2,Credit Card,"92563 James Alley Apt. 166, Lyonsbury, DE 51261","66414 Christopher Flats, Riveraland, DE 21861",Email,False,,Desktop,56.171.239.241,0,0,2024-04-20,164,0,1,0
TXN000057,CUST06605,PROD0415,2024-10-01,08:22:00,745.35,3,Debit Card,"37957 Michael Mews Apt. 603, New Andrewville, UT 20327","Unit 2981 Box 7185, DPO AE 01492",Paid Search,False,,Mobile,73.206.131.228,0,1,2024-09-13,18,1,1,1
TXN000058,CUST01147,PROD0135,2024-10-01,17:14:00,1088.04,3,Debit Card,"0307 Gardner Isle Suite 677, East Christine, NV 87921","5022 Jensen Stravenue Apt. 227, West Joseph, LA 89295",Social,False,,Tablet,140.172.111.250,0,1,2024-07-18,75,0,1,0
TXN000059,CUST04996,PROD0272,2024-10-01,11:23:00,329.22,3,PayPal,"PSC 0464, Box 3177, APO AE 15769","224 Donald Run, Marybury, CA 48715",Organic,False,,Desktop,103.13.242.156,0,0,2024-05-08,146,0,1,0
TXN000060,CUST06842,PROD0027,2024-10-01,15:54:00,80.01,1,Apple Pay,"163 Brandon Overpass Suite 166, East Randy, CT 58854","288 Stone Lake Suite 099, Lindsayberg, GA 15719",Organic,False,,Desktop,53.71.175.65,0,0,2024-06-13,110,0,1,0
TXN000061,CUST00020,PROD0041,2024-10-01,16:25:00,844.84,2,PayPal,"026 Sarah Camp, Frenchburgh, WA 38442","7120 Richard Wells Suite 734, Justinton, PW 12226",Email,True,2024-11-14,Desktop,132.204.40.229,0,1,2024-05-14,140,0,1,0
TXN000062,CUST06665,PROD0270,2024-10-01,15:16:00,109.68,3,Credit Card,"886 Tiffany Bypass Apt. 486, Rogersview, PW 15421","66697 Carrie Rapids, Reyeshaven, PA 75694",Organic,False,,Desktop,141.7.228.17,0,0,2024-02-12,232,0,1,0
TXN000063,CUST09448,PROD0272,2024-10-01,15:10:00,219.48,2,Apple Pay,"8643 Mary Prairie Apt. 269, West Keith, IA 93463","USCGC Avila, FPO AA 68817",Organic,False,,Desktop,124.14.69.142,0,0,2024-01-31,244,0,1,0
TXN000064,CUST00980,PROD0237,2024-10-01,10:15:00,1365.51,3,Debit Card,"71916 Sarah Flat, Joseland, UT 47492","83327 Andrew Island Apt. 513, Debraborough, TX 93426",Social,False,,Mobile,59.249.39.227,0,1,2024-09-20,11,1,1,1
TXN000065,CUST09441,PROD0006,2024-10-01,23:43:00,215.56,1,PayPal,"0543 Debra Brook, West Gregoryport, LA 72530","7042 Burns Trafficway, Aprilhaven, DE 62420",Social,False,,Desktop,208.180.123.163,0,0,2024-02-14,230,0,1,0
TXN000066,CUST01101,PROD0379,2024-10-01,15:06:00,960.63,3,Apple Pay,"Unit 2955 Box 7693, DPO AE 67618","52173 Carl Forge Apt. 587, Port Courtney, NC 02474",Organic,False,,Mobile,135.157.13.72,0,1,2024-09-11,20,1,1,1
TXN000067,CUST05504,PROD0094,2024-10-01,10:09:00,441.62,1,PayPal,"760 Kelly Greens Apt. 512, Ferrellbury, GU 48745","361 Navarro Path, Jenkinsborough, VA 72606",Social,False,,Desktop,210.2.122.19,0,0,2024-07-22,71,0,1,0
TXN000068,CUST05329,PROD0469,2024-10-01,13:40:00,208.16,2,PayPal,"7056 Gonzalez Union, Jordanville, NE 40808","86624 Edgar Groves Suite 531, Whiteview, FM 64044",Email,False,,Desktop,192.185.72.154,0,0,2024-08-31,31,0,1,0
TXN000069,CUST01788,PROD0066,2024-10-01,17:38:00,395.52,3,Apple Pay,"16785 Rivera Mission Suite 058, Tranville, NV 51359","4581 Hall Drive Apt. 459, South Joseph, AS 53125",Organic,False,,Tablet,121.118.32.43,0,0,2024-05-10,144,0,1,0
TXN000070,CUST00376,PROD0051,2024-10-01,13:55:00,874.98,2,PayPal,"654 Sandoval Gateway Suite 544, West Jenna, WY 10068","55128 Steven Spring, South Kevin, CO 41659",Social,False,,Tablet,219.72.180.166,0,1,2024-01-15,260,0,1,0
TXN000071,CUST02712,PROD0427,2024-10-01,18:16:00,282.66,3,Apple Pay,"5290 Pearson Fields, Millerbury, MT 11490","81106 Long Pass, Hernandezland, MN 29193",Paid Search,False,,Desktop,161.45.139.58,0,0,2024-03-12,203,0,1,0
TXN000072,CUST07840,PROD0208,2024-10-01,11:42:00,72.18,3,Apple Pay,"801 Aaron Highway Apt. 195, Larrymouth, AK 85409","91322 Hall Mountain, North Tammybury, WV 12205",Email,False,,Tablet,213.176.186.58,0,0,2024-05-03,151,0,1,0
TXN000073,CUST06041,PROD0209,2024-10-01,18:02:00,746.7,3,Credit Card,"9364 Hartman Island, Melissaberg, NY 53257","9023 Rodriguez Fields Suite 569, West Rebeccaview, CA 92319",Paid Search,False,,Desktop,176.58.52.97,0,1,2024-02-04,240,0,1,0
TXN000074,CUST03859,PROD0486,2024-10-01,11:57:00,149.68,1,PayPal,"84530 Jennifer Tunnel Apt. 508, New Stevenmouth, CO 02081","5788 Christopher Valleys Suite 691, North Angela, WV 87723",Paid Search,False,,Tablet,222.211.145.212,0,0,2024-04-20,164,0,1,0
TXN000075,CUST03228,PROD0181,2024-10-01,13:00:00,340.3,2,Credit Card,"5748 Davis Row Suite 746, Port Jasonmouth, NE 09430","773 Wolf Forges, Walkerchester, GU 90817",Email,False,,Desktop,209.184.66.112,0,0,2024-07-30,63,0,1,0
TXN000076,CUST07962,PROD0220,2024-10-01,16:21:00,493.86,3,Apple Pay,"03967 Justin Creek, West Tanyaton, MT 74586","2134 Gonzalez Bypass, Port Kenneth, AZ 37748",Paid Search,False,,Mobile,186.125.144.92,0,0,2024-04-07,177,0,1,0
TXN000077,CUST06573,PROD0228,2024-10-01,15:15:00,120.54,2,Apple Pay,"082 Vicki Point, Karenstad, NE 93912","1901 Brown Tunnel, North Lindsayport, TN 10202",Social,False,,Tablet,142.253.65.138,0,0,2024-02-14,230,0,1,0
TXN000078,CUST06366,PROD0234,2024-10-01,23:13:00,155.22,3,Apple Pay,"452 Jackson Springs Apt. 999, South Jennyport, OR 61294","676 Martinez Island Apt. 808, Kiarahaven, MA 15516",Social,False,,Mobile,38.156.33.215,0,0,2024-02-02,242,0,1,0
TXN000079,CUST02227,PROD0481,2024-10-01,12:21:00,391.28,1,PayPal,"USCGC Rivera, FPO AE 53201","035 Charles Course Suite 152, Port Jeremyhaven, FL 75172",Organic,False,,Mobile,144.33.55.169,0,0,2024-02-04,240,0,1,0
TXN000080,CUST05129,PROD0390,2024-10-01,15:25:00,407.77,1,Apple Pay,"0678 Mccormick Greens, South Pamela, AZ 07679","3977 Evans Groves Suite 273, South Brettton, AK 72925",Organic,False,,Desktop,135.237.253.63,0,0,2024-04-16,168,0,1,0
TXN000081,CUST07630,PROD0388,2024-10-01,11:21:00,85.8,2,Debit Card,"8235 Watkins Turnpike, Lake Earl, VA 54174","47316 Johnson Fields Apt. 410, Sanchezfurt, DE 19246",Organic,False,,Mobile,49.61.140.232,0,0,2024-07-01,92,0,1,0
TXN000082,CUST04230,PROD0233,2024-10-01,13:58:00,84.35,1,Debit Card,"606 Kirk Run, Karenstad, IL 65501","07196 Aaron Fort Suite 239, Nicoleview, DC 93048",Social,False,,Mobile,102.182.167.195,0,0,2024-03-09,206,0,1,0
TXN000083,CUST02628,PROD0409,2024-10-01,08:05:00,906.45,3,PayPal,"7369 Gordon Mills, South Kenneth, MI 72551","USCGC Smith, FPO AA 91137",Email,False,,Desktop,77.146.76.71,0,1,2024-06-13,110,0,1,0
TXN000084,CUST07840,PROD0079,2024-10-01,12:08:00,1111.53,3,Credit Card,"801 Aaron Highway Apt. 195, Larrymouth, AK 85409","91322 Hall Mountain, North Tammybury, WV 12205",Social,False,,Mobile,148.202.65.121,0,1,2024-05-03,151,0,1,0
TXN000085,CUST05516,PROD0200,2024-10-01,10:35:00,16.2,1,Apple Pay,"4550 Ruiz Shoal Apt. 004, Lake Marissaton, NH 49662","25357 David Plains Suite 748, New Josephport, FM 78424",Paid Search,False,,Desktop,63.213.159.16,0,0,2024-09-07,24,1,1,0
TXN000086,CUST09297,PROD0476,2024-10-01,07:14:00,94.23,3,Credit Card,"425 Oneill Heights Apt. 121, Myerschester, IN 97400","601 Mcgee Underpass, New Jessica, HI 38172",Organic,False,,Mobile,187.115.106.159,0,0,2024-08-30,32,0,1,0
TXN000087,CUST03013,PROD0122,2024-10-01,08:30:00,119.23,1,Apple Pay,"PSC 8212, Box 6970, APO AA 51104","9194 Gloria Crest, Huntside, PR 96462",Organic,False,,Desktop,88.186.242.59,0,0,2024-01-26,249,0,1,0
TXN000088,CUST00720,PROD0103,2024-10-01,08:56:00,165.69,3,PayPal,"501 Bradley Dale, Anthonychester, TX 85227","98210 Michael Throughway, West Patricia, TN 25429",Social,False,,Mobile,198.224.218.189,0,0,2024-03-17,198,0,1,0
TXN000089,CUST05047,PROD0240,2024-10-01,13:59:00,948.64,2,Debit Card,"56714 Ewing Heights, Port Latashaview, TX 78761","7745 Penny Wells, Lake Marktown, KY 03155",Paid Search,False,,Mobile,157.78.82.10,0,1,2024-01-06,269,0,1,1
TXN000090,CUST09786,PROD0154,2024-10-01,11:08:00,712.89,3,PayPal,"584 Roth Fork, West Michaelstad, CA 99414","46153 Stephanie Burgs, North Peter, NE 39795",Email,False,,Desktop,79.240.231.106,0,1,2024-01-31,244,0,1,0
TXN000091,CUST03260,PROD0196,2024-10-01,14:44:00,179.79,3,Apple Pay,"268 Johnson Path Suite 812, Jamesburgh, MD 83492","2275 Donald Haven Apt. 323, West Kristopherview, TX 73581",Organic,False,,Mobile,67.102.35.217,0,0,2024-04-29,155,0,1,0
TXN000092,CUST02846,PROD0293,2024-10-01,20:28:00,597.54,3,Credit Card,"953 Mark Streets Apt. 638, West Lindseymouth, WY 74102","93520 Pacheco Lights, East Joseph, CT 15876",Organic,False,,Tablet,157.142.51.226,0,1,2024-07-25,68,0,1,0
TXN000093,CUST09189,PROD0095,2024-10-01,15:22:00,299.28,2,PayPal,"3224 Barr Key Suite 333, Reevesville, MP 60114","53891 Todd Skyway, Daniellefurt, AR 22637",Paid Search,False,,Desktop,128.186.0.110,0,0,2024-06-10,113,0,1,0
TXN000094,CUST04553,PROD0175,2024-10-01,06:57:00,1013.25,3,Apple Pay,"PSC 4203, Box 5073, APO AE 23385","PSC 8562, Box 6477, APO AA 78151",Email,False,,Tablet,174.199.235.231,0,1,2024-03-07,208,0,1,0
TXN000095,CUST02733,PROD0346,2024-10-01,13:28:00,473.67,1,PayPal,"5397 Anita Inlet Suite 059, Jonesfurt, NJ 45203","241 Ferguson Cliff Apt. 312, Lindsayland, PR 33639",Social,False,,Desktop,72.13.10.128,0,0,2024-07-24,69,0,1,0
TXN000096,CUST00113,PROD0436,2024-10-01,14:26:00,285.03,3,Credit Card,"44818 Katie Falls Apt. 928, Moniqueport, KY 90343","158 Megan Estates Apt. 257, West Frank, KY 47839",Social,False,,Tablet,202.114.72.138,0,0,2024-07-02,91,0,1,0
TXN000097,CUST05631,PROD0132,2024-10-01,16:07:00,346.56,1,Apple Pay,"61090 Hamilton Islands, East Michelle, OH 11346","8119 Michael Tunnel, Lake Malik, AL 36570",Paid Search,False,,Tablet,184.57.22.89,0,0,2024-04-29,155,0,1,0
TXN000098,CUST07796,PROD0079,2024-10-01,21:38:00,370.51,1,Credit Card,"02004 Karen Passage, New Raymond, FL 32937","725 Kristin Via, Lake Dianaside, AZ 99814",Organic,False,,Tablet,112.250.48.225,0,0,2024-01-10,265,0,1,0
TXN000099,CUST05419,PROD0309,2024-10-01,11:06:00,371.3,2,Apple Pay,"3979 Rebecca Points, Delgadoland, NC 99229","016 Stone Divide, New Nicholas, DC 58048",Email,False,,Mobile,178.162.231.170,0,0,2024-01-05,270,0,1,0
TXN000100,CUST09760,PROD0213,2024-10-01,16:11:00,846.12,3,PayPal,"37766 Schaefer Throughway, North Daniellemouth, AL 21306","8919 Susan Green, New Aliciafurt, CT 45827",Email,False,,Mobile,3.78.188.28,0,1,2024-01-04,271,0,1,0
TXN000101,CUST05140,PROD0308,2024-10-01,18:14:00,32.54,1,PayPal,"790 Merritt Road, Michaelchester, ME 69740","8743 Hinton Passage, Larsenside, KY 71357",Paid Search,False,,Mobile,22.47.86.86,0,0,2024-02-13,231,0,1,0
TXN000102,CUST02599,PROD0289,2024-10-01,22:38:00,194.83,1,Credit Card,"USS Patterson, FPO AA 08565","6802 Thompson Expressway, East Alyssafurt, CT 57581",Social,False,,Desktop,161.224.15.172,0,0,2024-03-07,208,0,1,0
